Answer,Question
10320572,188607
10320583,188607
10321083,188607
10321920,188382
10322871,187234
10322905,188607
10322948,187234
10322976,189703
10322978,189703
10323253,188607
10323369,190169
10324880,190956
10325024,187234
10330496,189703
10331175,187655
10331987,107372
10332423,195632
10332434,187234
10332515,187234
10332671,195632
10332702,195632
10332884,187234
10332931,188607
10333244,196242
10333327,187234
10333490,196242
10334455,196242
10334477,196242
10335217,197305
10335708,187234
10335924,197924
10335929,197305
10336611,197305
10337093,198647
10337202,198647
10337477,198647
10337480,198647
10338536,187234
10339636,187234
10340545,187234
10343339,202208
10343361,168746
10345046,173660
10345064,202208
10349994,206206
10353048,208110
10353167,208110
10354160,208786
10355556,187234
10355585,209586
10355601,209586
10355610,209586
10355620,209586
10355764,209469
10356981,208786
10360271,212495
10360749,212787
10360800,212787
10360857,212787
10374118,212495
10374194,120513
10377141,222702
10378295,223276
10379193,222702
10380611,224844
10380614,224844
10380622,224844
10380629,224844
10380790,224844
10380839,224844
10380888,224844
10382769,120513
10383599,226581
10383822,226748
10383835,226748
10383840,226748
10383930,226748
10384437,226581
10385063,226581
10385177,226581
10385772,226748
10390500,124215
10393303,232231
10393732,232231
10394149,232231
10394784,120513
10397588,232231
10399351,226748
10401571,237454
10402853,187234
10404117,239018
10404132,239047
10404165,239047
10404391,239018
10404418,239199
10404442,239199
10404822,237609
10404968,239047
10406210,239018
10407056,240619
10407680,239126
10407746,239126
10408238,240619
10408632,241385
10408812,241385
10409785,242482
10410344,240619
10410507,239047
10411924,243587
10412065,243822
10412140,243822
10412141,243822
10413473,243822
10413542,244751
10413549,244751
10413691,244751
10413890,244751
10414482,245324
10414573,245324
10415086,245324
10416901,246818
10417214,246818
10417255,247005
10418128,208110
10418455,247005
10421630,249638
10421707,249258
10421840,249258
10421855,249258
10423404,250742
10423454,250762
10423482,250790
10423498,250768
10423527,250801
10423533,250834
10423539,250796
10423545,250768
10423547,250741
10423552,250830
10423554,250830
10423555,250776
10423581,250860
10423584,250772
10423600,250801
10423634,250830
10423646,250886
10423650,250860
10423651,250830
10423666,250874
10423672,250886
10423698,250883
10423726,250737
10423743,250762
10423746,250776
10423748,250876
10423755,250876
10423760,250960
10423770,250960
10423854,245324
10423893,250739
10423900,250739
10423914,250883
10423919,250862
10423992,251006
10424069,251079
10424073,250772
10424103,250774
10424108,250801
10424157,250801
10424282,250874
10424332,251003
10424413,165401
10424599,250857
10424610,250857
10424627,250796
10424651,251079
10424795,250883
10425017,250883
10425243,250883
10425446,251079
10425469,250862
10425529,251732
10426504,250813
10426917,252497
10427750,252029
10427951,251006
10428353,253398
10428474,251019
10428699,253398
10429072,103916
10429594,245324
10429726,196242
10430100,254408
10430141,254408
10430165,254408
10430474,251019
10430676,254408
10430754,252497
10430887,252029
10431178,250772
10431281,251079
10431303,251079
10431309,255025
10431310,250801
10431319,208786
10431422,250886
10431552,255016
10431603,255016
10431700,255016
10431978,255519
10432078,255001
10433051,251079
10433097,256159
10434007,255016
10435651,257527
10435655,257527
10436177,257527
10436247,257889
10436351,256032
10436854,2482237
10437273,256159
10437276,257527
10437357,255519
10437533,258569
10437579,258569
10437777,258692
10437785,258692
10437853,258569
10437943,258833
10437947,258833
10437984,258833
10438003,258692
10438328,258833
10438493,258692
10442552,261349
10443202,258569
10443437,262000
10443536,262068
10443725,262000
10444240,258692
10444775,262815
10444870,262815
10444913,262815
10445064,250739
10445072,262922
10445130,250813
10446070,262922
10446447,262068
10447205,250796
10447211,250796
10447437,255001
10448174,251003
10448189,251003
10448241,256032
10448507,262922
10448532,262068
10448964,265209
10449199,250796
10449484,265209
10449956,265209
10451517,266706
10452539,265209
10454817,268528
10454878,268528
10455273,268995
10455843,250886
10455853,258569
10456194,269344
10456519,269693
10456560,269693
10456779,269804
10458480,257889
10460577,272069
10460593,272069
10460744,272069
10460988,272351
10460997,272351
10461038,272351
10461081,272351
10461796,272834
10462482,273177
10462553,273177
10462991,273439
10463098,273439
10463148,273439
10463189,273439
10463318,273716
10463353,273716
10463469,272069
10463588,273439
10463615,251003
10463631,272711
10463980,273885
10464032,273439
10464073,273439
10464817,187234
10464912,272834
10465066,272069
10465577,273885
10465755,275262
10466797,275715
10466815,2818823
10467178,275715
10467309,273716
10467419,273439
10467484,273439
10467976,276615
10467996,276615
10468341,276305
10468805,258569
10469426,277294
10470090,273439
10470681,250737
10470764,277294
10472574,279360
10472623,279360
10472656,279360
10473152,279563
10473166,279700
10473504,279700
10473569,279700
10473634,279360
10475591,281150
10475637,281150
10475657,281150
10475695,279563
10476082,281150
10476088,281150
10478474,282875
10478534,279563
10478574,282875
10478990,282875
10479285,279360
10480265,284013
10480344,284013
10480364,281150
10482220,279360
10483178,285792
10483259,285792
10483332,285792
10483386,285792
10483390,285792
10483826,286181
10483829,286181
10483953,285792
10484383,285792
10484535,286181
10485294,286181
10485446,286181
10486047,285792
10487219,288125
10487279,288125
10489438,289393
10489474,289393
10489478,288941
10489479,289393
10489691,286181
10490667,288941
10493222,291769
10493229,291769
10493285,291769
10494234,291769
10499260,2827052
10499491,295450
10499505,295450
10499647,295450
10499772,187234
10503582,297882
10503664,297882
10504252,298274
10505204,297882
10505353,299054
10505395,298274
10505830,240619
10505841,299054
10505974,299128
10506904,299128
10508558,297882
10508858,299128
10512749,303472
10512892,303472
10513385,303860
10515222,303860
10515886,305346
10516086,305488
10516154,305488
10516305,305346
10516500,305488
10516526,305488
10516543,305488
10518032,272711
10518297,272834
10518528,306924
10519269,306924
10522006,309120
10522418,309402
10522466,309402
10525008,310987
10526657,187234
10526946,312175
10527176,312175
10527481,312400
10528223,312400
10529179,313418
10529920,313418
10530352,310987
10531903,313418
10531940,313418
10532023,315178
10532214,315178
10533158,315178
10533333,315178
10534821,316886
10534935,316930
10534983,316930
10534999,316886
10535066,310987
10535926,317518
10536368,313418
10536409,317518
10536568,313418
10537634,316886
10537948,255098
10538305,317518
10538422,212787
10541865,320967
10542040,320967
10543130,321878
10543153,321878
10543677,322188
10543957,322121
10544066,322121
10544554,298274
10544809,322188
10544850,322188
10544921,322188
10547986,324554
10548013,324554
10548045,324817
10548073,324817
10548946,324817
10549480,325555
10549660,324817
10551204,326460
10554648,328702
10554730,328749
10554735,328749
10554831,328702
10561155,332647
10561356,332647
10563066,333772
10563115,333772
10563192,333877
10563274,333772
10565089,334366
10565592,334366
10569973,337878
10569990,337878
10569994,337878
10570088,337878
10572911,339719
10573839,340315
10574108,340315
10574852,340315
10575268,337878
10575360,333772
10575519,341309
10575528,341351
10575594,341309
10575659,341309
10575741,341309
10575817,341309
10577119,342358
10577616,342283
10579500,343786
10580221,342358
10582755,345661
10583652,345661
10586245,347770
10586620,348011
10586706,348011
10587741,348174
10588130,348174
10590573,350348
10591187,350348
10597267,354314
10602205,357232
10602372,357625
10604557,358807
10606351,360021
10609584,357625
10610255,362437
10610340,362437
10610389,362437
10610733,362437
10611158,362972
10611286,362972
10611598,362972
10611612,362972
10611833,362972
10612109,187234
10612249,362972
10613221,364120
10613636,364048
10613811,364048
10614593,250900
10614800,363890
10615463,364120
10616562,363890
10618687,367707
10618689,367707
10619213,367707
10620107,368637
10623096,370404
10623240,370404
10624095,371106
10628006,341309
10631563,374632
10637465,379280
10638241,379280
10638966,379280
10650927,387638
10651245,387638
10651745,388151
10651902,388151
10655157,387638
10655995,387638
10658279,392125
10658480,392125
10658737,392519
10659510,392125
10660840,393834
10660962,393880
10662474,393834
10662656,379280
10666195,396988
10666564,396988
10666706,397339
10667678,397601
10669658,195632
10670116,397601
10670378,397601
10671758,60872
10672638,401182
10672920,401182
10675994,402697
10677191,402697
10677388,403999
10677484,403999
10681453,405576
10683217,402697
10685676,403999
10685827,405576
10687328,409629
10687482,410113
10687512,410113
10688508,410113
10688701,410113
10690485,402697
10690594,411723
10691427,410113
10692872,413398
10693021,413398
10694541,409629
10696301,414937
10696350,414937
10697173,414937
10698936,416949
10699303,416949
10699541,417401
10699587,417401
10700063,417696
10700626,417696
10701581,392519
10702034,418802
10702434,419033
10702651,419210
10702724,419210
10704651,106298
10704773,420521
10705045,420521
10707279,421940
10707319,421940
10708069,421940
10708287,421940
10709386,422832
10709406,422832
10709838,421940
10710711,424071
10710746,424071
10710805,424071
10710808,424071
10712584,424826
10715830,240619
10718661,299128
10719637,396988
10719740,250834
10723138,429680
10724235,429156
10725249,433265
10725296,433285
10725298,433285
10725300,433285
10725304,433285
10725377,433285
10725404,433265
10725794,433587
10725897,433587
10726041,433587
10727525,433265
10734085,438618
10734318,438618
10735543,439503
10735544,439503
10735549,433265
10736133,341309
10738017,497367
10739786,433265
10740253,497367
10741496,350348
10741602,443297
10742065,443297
10742329,440521
10743115,187234
10743749,443297
10748911,447639
10750728,447639
10750741,447639
10752204,439503
10753262,337138
10754059,451061
10754415,451061
10756344,409629
10757823,453434
10758793,453989
10758839,453989
10759811,453989
10760045,454842
10760589,455150
10761630,453989
10762327,456089
10764556,457713
10765135,457339
10765718,458496
10766048,458496
10766785,458934
10767210,458496
10768544,453989
10771915,462502
10771923,462502
10772504,460852
10774245,463864
10777951,453989
10778568,466210
10780147,466210
10780475,462227
10785670,470813
10785680,470813
10785732,470813
10785930,470519
10785960,470813
10786020,462227
10786434,471230
10786562,471230
10786640,470813
10787022,471230
10787332,470519
10789197,472831
10789208,472831
10789216,472831
10789485,472831
10790354,473701
10790360,473701
10790754,472831
10790981,472831
10791500,474453
10791760,474612
10792835,475277
10792958,472831
10793637,475277
10793690,475277
10794915,476538
10794970,476538
10795626,272711
10796176,477337
10796881,477757
10796976,477823
10797028,477757
10797486,477337
10797870,477757
10799548,477337
10800042,474612
10800533,479876
10800571,479876
10803341,481790
10804761,481790
10805174,482911
10807677,484505
10807953,484505
10808331,484861
10808472,484861
10809378,481790
10809604,482911
10809965,212495
10811258,479876
10812920,487488
10815277,487488
10822739,493795
10823624,493795
10824093,494745
10824105,494745
10824333,494745
10826355,496239
10826899,496528
10827782,497038
10828241,497367
10828891,497367
10829688,498289
10831380,499146
10833634,488681
10833659,500904
10836717,502750
10837222,502750
10837236,503164
10837239,503164
10837247,503164
10837258,503164
10837344,503164
10837883,503164
10838024,488681
10839523,504415
10839629,504415
10839679,115024
10840216,504895
10840974,504895
10841030,504415
10841304,505498
10842437,497367
10842587,504573
10843483,506908
10843768,503164
10845080,506070
10845515,506908
10845876,508471
10845919,506908
10845992,505498
10849438,510675
10851101,504895
10852858,506070
10853628,513051
10853903,120513
10857412,515408
10858365,515408
10859526,515408
10859858,517085
10860583,279360
10862389,518039
10864459,515716
10866367,521016
10866409,521016
10866434,521011
10866441,521011
10866759,515408
10867311,521011
10868589,522436
10870616,523662
10870643,523662
10870815,523777
10871676,523124
10872794,525018
10872913,525018
10873204,523662
10873445,525411
10873564,525411
10873657,525018
10873710,525564
10873723,525564
10874122,525715
10874188,525715
10875500,526080
10876477,526080
10876726,522436
10877956,466210
10878105,528308
10878348,528308
10878372,528308
10879203,527535
10879403,528308
10879585,528308
10879828,521790
10883773,527535
10884519,532241
10884531,532241
10884709,532241
10884750,187234
10887103,533767
10887107,533767
10887301,533396
10887850,532241
10889011,521801
10889151,121601
10890233,535509
10890602,121601
10891582,534226
10892434,536534
10892676,537123
10893132,537123
10893483,537936
10893724,537123
10895898,536534
10896915,540008
10897074,540008
10897637,537123
10899319,541435
10900918,541435
10903097,543415
10904699,540008
10904898,544886
10907603,544886
10907705,540008
10908352,544886
10908833,547324
10909006,547324
10913863,547324
10915148,551177
10919416,310987
10919887,554263
10920149,554263
10920400,554263
10923177,556221
10923240,556423
10926055,556221
10926134,556221
10926324,556423
10930434,560510
10930564,560510
10931676,553937
10932461,560859
10934911,281150
10935801,556423
10936662,564624
10936889,564624
10936924,564624
10937512,60872
10938311,565675
10938594,565675
10939090,566194
10939767,566618
10940663,566854
10945113,569437
10945142,569502
10945181,569437
10947429,2557650
10950482,573326
10950492,573326
10950764,573326
10951575,574023
10952163,574292
10952307,574292
10952434,573326
10952601,574417
10952960,574718
10953003,574718
10953565,574023
10953630,574229
10953707,574417
10953730,574718
10953937,575365
10954016,575365
10954083,574023
10954180,575365
10954667,575365
10956235,576846
10956564,576846
10957230,576846
10959062,576846
10959698,573326
10960051,578991
10961543,579628
10963536,581197
10964754,579628
10964784,582109
10964797,582109
10964981,582109
10965572,582408
10965999,582916
10966198,582408
10966202,583059
10966485,583231
10966825,583231
10967601,575365
10968700,583059
10975508,587531
10975550,588813
10975683,588813
10976192,587531
10976253,587531
10976432,589372
10976494,589372
10977003,587531
10977987,590313
10984330,594276
10984687,594276
10984870,594276
10993450,483342
10993510,600059
10993521,600059
10993707,600059
10993793,600059
10995971,589372
10999309,603641
10999792,603641
11003011,606058
11003099,606058
11006417,608171
11006461,608118
11006498,608171
11006849,608171
11010643,608118
11011471,611456
11011692,611179
11016255,2582856
11017917,615266
11018094,615353
11019525,615266
11019810,615266
11020300,615266
11020620,615266
11023361,615266
11023991,619262
11024275,619262
11024934,619262
11025988,304099
11026911,621166
11029351,622657
11029579,187234
11030517,623426
11033817,623426
11034158,251012
11034834,626122
11034837,626122
11036054,626805
11036715,627335
11037089,627552
11037863,628028
11038406,628028
11038460,628421
11039019,628028
11040482,628028
11041025,619598
11043140,628421
11047108,633929
11047115,633929
11047211,634041
11047343,634041
11050004,635331
11050869,636367
11050956,636423
11051025,636504
11051028,636504
11051928,636367
11054207,638510
11059180,641810
11059728,641810
11060107,637643
11062490,615266
11066693,646721
11066796,646721
11068766,250883
11073458,651043
11073900,651043
11078539,560315
11078576,636504
11079337,654845
11079354,654845
11079421,654845
11079766,633929
11080827,637643
11081337,656225
11081362,656225
11081372,656225
11081457,656225
11081548,656365
11081563,656365
11081713,656365
11081843,656365
11088631,659098
11091874,661386
11097981,666928
11098059,666928
11099261,637643
11099942,636423
11100174,666928
11100527,668596
11100671,668596
11104977,250860
11111878,666928
11112428,615266
11115540,678151
11115882,675769
11115912,656225
11116323,678151
11117070,2683028
11117780,679567
11121599,678151
11121704,682042
11121715,682042
11121748,682042
11121853,682125
11121861,682125
11121869,682125
11121870,682125
11121881,682125
11121911,682125
11121961,682125
11122805,682125
11122855,682227
11123023,682227
11124344,527535
11124364,682227
11126665,684831
11127354,682125
11128402,686201
11128416,686201
11128421,686201
11128613,686283
11128656,686283
11128861,682955
11129144,686201
11129204,107418
11129573,678151
11129808,125596
11130358,322188
11130605,687582
11130626,687089
11130922,687582
11131443,688148
11132562,688148
11132678,688148
11132683,687582
11133348,687089
11133983,656225
11134414,689873
11134439,689873
11134442,686201
11134464,689762
11134647,689873
11134845,689873
11135224,686283
11135555,682125
11136627,689873
11136878,690889
11137442,691732
11137817,691732
11138026,691732
11138157,686201
11139251,692733
11140456,187234
11140665,693385
11143425,692733
11145159,693385
11146854,682227
11147526,697815
11147549,697815
11148181,698023
11148701,697815
11149464,698023
11150455,699268
11151850,699268
11153505,187234
11153910,701615
11158523,603641
11158979,699268
11159415,693385
11160621,705746
11160664,705746
11162552,703614
11162733,706906
11163133,342358
11163320,707429
11163842,707429
11164592,708208
11164705,708269
11166844,708208
11167014,708208
11167770,710112
11167946,710112
11168759,710734
11168780,710722
11168807,710734
11170051,711447
11171022,707429
11171496,711447
11171987,708208
11172010,708208
11172545,708208
11176699,713859
11178336,708208
11181998,716331
11183824,716331
11188323,722695
11188338,722695
11188347,722695
11188763,360021
11188837,187655
11190619,724103
11190896,724267
11190936,724267
11191200,724267
11193163,690889
11195245,724267
11195259,726920
11195312,724267
11196652,727735
11196716,727735
11196871,724103
11198220,728733
11198631,728733
11199064,708208
11199925,709769
11202419,710112
11202879,731632
11204956,731409
11205523,731409
11209620,735585
11209800,735585
11212834,362972
11214347,682125
11214709,731054
11214811,739148
11214834,739148
11214875,739148
11215064,739318
11215714,224844
11216143,739880
11216628,735585
11217238,693567
11217856,741101
11217967,741101
11219771,742339
11219956,712668
11220563,742339
11220703,742896
11220727,742339
11222179,743825
11223352,744494
11223511,744476
11224113,743825
11225211,687089
11225286,745750
11227525,747230
11227531,747230
11227804,713217
11228305,691732
11232145,744476
11232206,744476
11233748,750913
11236327,750913
11238003,69057
11238056,120513
11240004,755124
11240691,755434
11240780,755434
11240883,755434
11242574,745750
11243782,687089
11245333,754468
11248165,759900
11248485,759900
11249350,758398
11249383,687089
11251163,762151
11251343,762151
11252598,762928
11252689,762928
11253235,762875
11255616,762928
11255973,762928
11259065,767060
11260062,767912
11260615,767060
11260941,768502
11261277,768502
11262674,769567
11262788,769567
11262942,769567
11262947,769567
11263991,770222
11264027,759900
11264616,770802
11264851,770304
11264879,770491
11264962,771064
11265003,771064
11265049,771064
11265829,411723
11266592,771758
11266948,770222
11267014,771064
11268137,769567
11268145,2581506
11268436,769567
11268632,773393
11272769,776267
11273516,770222
11273861,777010
11273905,777010
11273971,776267
11277060,778653
11279666,770304
11281165,781474
11281827,768375
11283923,120513
11284963,781474
11286164,784735
11286321,784735
11288398,786285
11288436,786285
11288887,785974
11289310,786816
11289346,786816
11290681,786285
11290910,786285
11292218,788603
11292219,788603
11292968,781474
11293446,789126
11294650,790324
11294653,790324
11294995,790324
11295956,789181
11295968,791098
11296291,790695
11297611,791098
11298094,792453
11298417,792453
11299186,792453
11299839,792916
11299922,792916
11299998,792916
11300039,791692
11300235,789126
11300560,794121
11300616,794121
11300839,794153
11300855,794322
11300901,794153
11300906,792453
11300979,794322
11300981,794121
11302310,795221
11302367,795221
11302369,795221
11302484,794322
11302537,795221
11302750,795221
11303543,794121
11306191,797627
11306209,797627
11309942,800258
11309948,800258
11309957,800258
11309958,800258
11309973,800258
11309991,800258
11309997,800258
11310039,800258
11310240,800258
11311040,795804
11311219,800258
11313787,797627
11314816,800258
11314992,792916
11320721,806896
11320948,792916
11320989,806896
11327180,800258
11331427,813767
11332186,767060
11332531,742339
11332693,813767
11334166,814748
11334445,800258
11334476,791692
11335437,813767
11337138,800258
11337877,818359
11340703,814748
11340852,820127
11341009,820384
11342102,821062
11342395,821062
11344155,821735
11344167,821735
11345556,770304
11347489,824457
11347636,824457
11347773,814748
11348830,825737
11349727,824457
11353291,825026
11353356,825026
11354768,165401
11356583,830718
11356698,830718
11357341,828962
11358406,831865
11358535,831936
11358696,832106
11358752,831865
11359646,831936
11359697,831865
11359775,830718
11360498,831936
11360628,831865
11364112,789181
11364931,836384
11365011,836384
11365056,836384
11365281,836384
11365424,836429
11365526,836384
11366117,830718
11366445,836429
11366723,837356
11366742,837356
11367634,838088
11367985,838292
11370847,832106
11371016,840442
11371026,840442
11371044,840442
11371095,840442
11371354,840442
11371375,840442
11371411,840442
11371412,840442
11371871,840442
11372067,840442
11372221,840442
11372720,840442
11372964,833237
11373973,842384
11373999,842384
11374040,842460
11374071,842460
11374110,842460
11374186,842460
11374491,842670
11374605,842670
11378076,845092
11378169,845092
11378401,845419
11378722,845613
11378795,845660
11378912,845092
11379740,845613
11380131,846640
11380453,840442
11381093,846640
11381310,847351
11381527,847351
11382476,838088
11384700,841281
11385866,847351
11387482,851391
11387698,851391
11388708,682125
11389028,851391
11389370,851542
11389480,851391
11390756,853651
11390859,853651
11392709,854507
11393597,855619
11393967,855619
11396622,857619
11396694,857619
11396954,857882
11396993,857882
11398284,857882
11398654,859033
11400040,860091
11403457,252029
11403617,862586
11404402,862586
11404899,862990
11405364,863508
11405509,863508
11405743,863508
11405924,863670
11406674,862990
11406894,864724
11407505,863508
11407775,689873
11408470,861553
11408754,866007
11408963,863670
11409418,862990
11410777,867246
11411909,867859
11411942,867859
11412005,851542
11412177,861553
11412809,868456
11412899,868456
11414327,869181
11415096,869181
11415186,867859
11416517,171925
11416895,841281
11418350,867859
11418847,869181
11419563,867859
11421478,868276
11422013,874492
11422169,874492
11422720,875376
11423097,875376
11423142,872658
11423231,875552
11423381,872658
11423384,873521
11424410,873521
11427589,878661
11427914,878769
11428612,878661
11430587,845092
11435106,883889
11435773,884304
11437129,885172
11437160,885172
11437258,885172
11437932,885816
11437934,885816
11438040,874492
11439698,886209
11439923,886616
11440232,885816
11442936,885172
11444561,890355
11444727,890355
11445063,875552
11445172,841281
11445727,891107
11445757,891107
11445954,891107
11446441,891107
11447180,891764
11447409,892412
11448904,890913
11449231,890913
11450773,894717
11450862,894717
11452986,895087
11455788,895087
11457245,895087
11458888,894717
11458935,895087
11460033,900762
11460074,898638
11460142,900762
11460471,898638
11461514,60872
11461889,901430
11462413,902478
11462415,902478
11462425,902478
11462488,902478
11462502,902351
11462828,900762
11463811,901674
11465264,904205
11466672,904205
11468288,906219
11468993,907026
11469102,907026
11470621,906219
11471026,904266
11472326,909263
11474550,523124
11475230,911254
11475277,906219
11475549,911254
11475553,911254
11475819,911254
11477637,912227
11479144,913069
11480577,914968
11480599,840442
11480611,914968
11480621,914968
11480700,914968
11481174,907932
11482824,916368
11483098,916633
11483607,916878
11485018,917909
11485258,917909
11485807,918327
11485815,918327
11487056,919121
11488465,918996
11488994,918996
11490765,921447
11493682,912649
11494844,924511
11495582,924511
11496093,924278
11496180,924278
11497264,925941
11499734,927782
11501189,925941
11501885,919121
11502393,924278
11503743,907867
11505106,770304
11507202,932887
11507312,932887
11507513,932887
11510271,934740
11510746,930491
11510870,935011
11512143,936290
11512185,936290
11512750,936818
11513067,936818
11513245,937182
11513594,770304
11513842,932984
11513965,937637
11514931,937637
11516372,936818
11516847,936818
11517779,895087
11518455,940023
11520259,941613
11520740,941613
11522991,943750
11523050,943750
11524651,944957
11524731,944957
11527898,947218
11529540,948265
11530854,949075
11530917,949075
11531187,949353
11531508,949571
11531630,949571
11531886,949733
11532610,949075
11532736,950271
11533101,950271
11533397,950271
11534094,949075
11536052,951799
11536807,767060
11537948,953627
11538141,515408
11539345,954908
11542693,954908
11543761,957897
11544158,957897
11544558,957897
11544701,958400
11544872,957897
11545207,958925
11546846,958925
11546853,187655
11547542,960111
11551714,963029
11552161,963054
11552369,226581
11555668,966035
11556685,960111
11557651,967450
11557685,967450
11559194,968241
11559210,968241
11559336,968241
11559745,957897
11560995,969595
11561587,968241
11562273,968241
11563848,951799
11573958,978460
11574276,977372
11575453,977719
11575876,977372
11578181,250883
11580892,983449
11582856,977719
11583063,984807
11583081,984975
11583119,984975
11583207,984975
11583431,983449
11583477,984477
11583759,985013
11583795,985466
11584368,917909
11585170,986385
11586994,984807
11588064,988549
11588252,985013
11588376,988549
11588422,986385
11588547,988884
11588773,986385
11588879,988549
11590551,990116
11590915,990454
11591996,991322
11592023,990116
11592375,991551
11593055,682125
11595170,993607
11596102,990091
11597141,994928
11597157,994928
11597293,984975
11597500,994928
11597793,995049
11598955,990116
11599882,996869
11600038,996869
11601567,994928
11602510,998488
11602838,998592
11603047,998488
11606540,958400
11606622,1001432
11606701,1001432
11606968,1001665
11607180,1001651
11607763,1002247
11607897,1002247
11608098,1002371
11608288,1002371
11608312,1002371
11611211,1001302
11611232,1002247
11612356,1001302
11613977,1006218
11614351,1001302
11614569,1006797
11614891,1006797
11614935,1006218
11615431,1006797
11615839,1007859
11615906,1007859
11618552,1009679
11619021,1009921
11620324,1007859
11622275,1012397
11622715,1012433
11622729,1012732
11623075,1012433
11623385,1013162
11623643,1013084
11624020,1012397
11624205,67257
11624356,1013863
11624747,1012433
11625132,1013162
11625158,1013863
11625328,1014550
